text,label
Breaking news! Secret miracle cure discovered,fake
Click here to win a free iPhone,fake
Shocking truth doctors don't want you to know,fake
Viral message claims world ending tomorrow,fake
Guaranteed method to become rich overnight,fake
Scientists discover new species in Amazon,real
Government announces new education policy,real
Indian cricket team wins international match,real
University releases examination schedule,real
New metro line inaugurated in Mumbai,real
Stock market shows steady growth this month,real
Researchers develop new AI technology,real
